autobotdescmgr.1	戰鬥經驗值獎勵 {0}%
mabinogi_gameword.4	減少耐力值消耗
mabinogi_gameword.5	暴發抵抗
mabinogi_gameword.6	破碎踏擊抵抗
mabinogi_gameword.7	火屬性鍊金術傷害
mabinogi_gameword.8	土屬性鍊金術傷害
mabinogi_gameword.9	風屬性鍊金術傷害
mabinogi_gameword.10	水屬性鍊金術傷害
mabinogi_gameword.11	合成成功率
mabinogi_gameword.12	分解成功率
mabinogi_gameword.13	製作結晶成功率
mabinogi_gameword.14	魔法防禦
mabinogi_gameword.15	魔法攻擊力
mabinogi_gameword.16	攻擊速度增加
mabinogi_gameword.17	累積等級
mabinogi_gameword.18	近距離戰鬥自動防禦
mabinogi_gameword.19	魔法攻擊自動防禦
mabinogi_gameword.20	遠距離攻擊自動防禦
mabinogi_gameword.21	採集速度
mabinogi_gameword.22	採集機率
mabinogi_gameword.23	採集數量
mabinogi_gameword.24	瞄準速度
mabinogi_gameword.25	移動速度
mabinogi_gameword.26	貿易中移動速度
mabinogi_gameword.27	第二幕: 激增的憤怒損害倍率
mabinogi_gameword.28	人偶最小損害
mabinogi_gameword.29	人偶最大損害
mabinogi_gameword.30	人偶生命力
mabinogi_gameword.31	人偶防禦
mabinogi_gameword.32	人偶保護
mabinogi_gameword.33	人偶魔法防禦
mabinogi_gameword.34	增加人偶操縱術最小損害
mabinogi_gameword.35	增加人偶操縱術最大損害 
mabinogi_gameword.36	增加人偶操縱術暴擊率 
mabinogi_gameword.37	增加人偶操縱術平衡度 
mabinogi_gameword.38	增加偶然的衝突靜止時間 
mabinogi_gameword.39	增加嫉妒的化身損害 
mabinogi_gameword.40	增加誘惑的圈套功擊範圍
mabinogi_gameword.41	增加狂亂的奔走損害 
mabinogi_gameword.42	第二幕: 激增的憤怒3擊損害 
mabinogi_gameword.43	生產物品質
mabinogi_gameword.44	鍊金術成功率增加
mabinogi_gameword.45	雙槍最小傷害
mabinogi_gameword.46	雙槍最大傷害
mabinogi_gameword.47	最大裝彈量增加
mabinogi_gameword.48	魔法保護
mabinogi_gameword.49	魔法防禦力
mabinogi_gameword.50	魔法保護
mabinogi_gameword.51	手裏劍最小殺傷力
mabinogi_gameword.52	手裏劍最大殺傷力
mabinogi_gameword.53	鎖鏈鐮刃最小傷害值
mabinogi_gameword.54	鎖鏈鐮刃最大傷害值
mabinogi_gameword.55	音樂技能持續時間
mabinogi_gameword.56	拳套最小傷害
mabinogi_gameword.57	拳套最大傷害
mabinogi_gameword.58	모든 속성 연금술 대미지
mabinogi_item.1	我真的是新手!
mabinogi_itemforjob.1	變更為 {0}
mabinogi_itemforjob.2	{0} 增加
mabinogi_itemforjob.3	{0} 減少
mabinogi_itemforjob.4	增加 {0}% 
mabinogi_itemforjob.5	減少 {0}% 
mabinogi_job.1	冒險家
mabinogi_job.2	戰士
mabinogi_job.3	魔法師
mabinogi_job.4	弓箭手
mabinogi_job.5	商人
mabinogi_job.6	鍊金術師
mabinogi_job.7	武鬥家
mabinogi_job.8	吟遊詩人
mabinogi_job.9	人偶師
mabinogi_job.10	雙槍手
mabinogi_minigame.1	黑手黨
mabinogi_minigame.2	市民
mabinogi_minigame.3	警察
mabinogi_minigame.4	變態
mabinogi_minigame.5	靈媒
mabinogi_minigame.6	醫生
mabinogi_minigame.7	觀戰者
mabinogi_minigame.8	正常
mabinogi_minigame.9	登出
mabinogi_minigame.10	淘汰
mabinogi_minigame.11	申請投票
mabinogi_minigame.12	完成投票
mabinogi_party.1	黑手黨
mabinogi_party.2	未知
mabinogi_pfhousing.1	- 金幣 : {0} Gold\n
mabinogi_pfhousing.2	- {0} : {1} 個\n
mabinogi_privatefarmdesc.1	{0} {1}個
mabinogi_privatefarmdesc.2	農場石 {0}個
mabinogi_privatefarmdesc.3	美容室代幣 {0}個
mabinogi_privatefarmdesc.4	, 農場石碎片{0}個
mabinogi_privatefarmdesc.5	體力
mabinogi_privatefarmdesc.6	敏捷
mabinogi_privatefarmdesc.7	智力
mabinogi_privatefarmdesc.8	意志
mabinogi_privatefarmdesc.9	幸運
mabinogi_privatefarmdesc.10	生命力
mabinogi_privatefarmdesc.11	魔力
mabinogi_privatefarmdesc.12	耐力
mabinogi_privatefarmdesc.13	最大攻擊力
mabinogi_privatefarmdesc.14	爆擊傷害值
mabinogi_privatefarmdesc.15	音樂增益技能效果
mabinogi_privatefarmdesc.16	魔法攻擊力
mabinogi_privatefarmdesc.17	額外傷害值
mabinogi_privatefarmdesc.23	移動速度
mabinogi_propentity.1	프랍 ClassID를 바꾸려 합니다. objectID: %d 이전 ClassID: %d 바뀌는 ClassID: %d
mabinogi_shadowmissiondesc.1	初級
mabinogi_shadowmissiondesc.2	中級
mabinogi_shadowmissiondesc.3	高級
mabinogi_shadowmissiondesc.4	最高級
mabinogi_shadowmissiondesc.5	{0}名
mabinogi_shadowmissiondesc.6	{0} 以上
mabinogi_shadowmissiondesc.7	{0}小時{1}分 {2}秒
mabinogi_shadowmissiondesc.8	{0}小時 {1}分
mabinogi_shadowmissiondesc.9	{0}小時 {1}秒
mabinogi_shadowmissiondesc.10	{0}分 {1}秒
mabinogi_shadowmissiondesc.11	{0}小時
mabinogi_shadowmissiondesc.12	{0}分
mabinogi_shadowmissiondesc.13	{0}秒
mabinogi_shadowmissiondesc.14	沒有
mabinogi_shadowmissiondesc.15	任務完成獎勵
mabinogi_shadowmissiondesc.16	執行人員 :
mabinogi_shadowmissiondesc.17	執行等級 :
mabinogi_shadowmissiondesc.18	限制時間 :
mabinogi_shadowmissiondesc.19	無限制
mabinogi_shadowmissiondesc.20	{0}人
mabinogi_shadowmissiondesc.21	{0}人~{1:無限}
mabinogi_shadowmissiondesc.22	{0}~{1}人
mabinogi_shadowmissiondesc.23	菁英
mabinogi_shadowmissiondesc.24	首領
mabinogi_shadowmissiondesc.25	執行才能等級 :
mabinogi_talent.1	旅行
mabinogi_talent.2	近距離戰鬥
mabinogi_talent.3	魔法
mabinogi_talent.4	弓術
mabinogi_talent.5	貿易
mabinogi_talent.6	戰鬥鍊金術
mabinogi_talent.7	戰鬥技能
mabinogi_talent.8	音樂
mabinogi_talent.9	人偶術
mabinogi_talent.10	騎槍
mabinogi_talent.11	祝福
mabinogi_talent.12	鍊成鍊金術
mabinogi_talent.13	料理
mabinogi_talent.14	鐵匠技術
mabinogi_talent.15	裁剪
mabinogi_talent.16	藥品研究
mabinogi_talent.17	木工技術
mabinogi_talent.18	雙槍手
mabinogi_talent.19	忍者
mabinogi_talent.20	梅林
mabinogi_talent.21	Diva
mabinogi_talent.22	教授J
mabinogi_talent.23	總舖師
mabinogi_talent.24	寶藏獵人
mabinogi_talent.25	諾比斯
mabinogi_talent.26	闇夜鎖鏈
mabinogi_talent.27	寵物訓練 
mabinogi_talent.28	瑪奇魔陣師
mabinovelmgr.1	可疑的名偵探
mastersordereventdescmgr.1	不是活動期間.
mastersordereventdescmgr.2	沒有要求道具.
mastersordereventdescmgr.3	已經獲得了獎勵.
mastersordereventdescmgr.4	該才能的資料不存在.
mastersordereventdescmgr.5	才能等級低.
mastersordereventdescmgr.6	以前才能等級的獎勵無法修練.
mastersordereventdescmgr.7	該才能等級的資料不存在.
mastersordereventdescmgr.8	不是活動期間.
mastersordereventdescmgr.9	沒有要求道具.
msg.afternoon_string	下午
msg.camp.already_have	已經有其他帳篷,所以無法再建立新的帳篷.
msg.camp.collide_with_char	在帳篷半徑內有角色.
msg.camp.collide_with_guildstone	在帳篷半徑內有公會石.
msg.camp.collide_with_item	在帳篷半徑內有物品.
msg.camp.insufficient_campfire_skill	營火技能為練息等級時,將無法使用.
msg.camp.invalid_position	此為無法使用帳篷的地點.
msg.camp.invalid_position_msg	此為無法使用帳篷的地點.\n可在村莊外,或是不是道路的地方建立.
msg.camp.near_other_camp	附近的帳篷與樹木太近.\n請在較遠的地點建立.
msg.camp.not_have_campfire_skill	如果沒有營火技能,就無法使用.
msg.camp.not_in_inner	在室內,地下城,戰鬥區無法建立帳篷.
msg.camp.outter	<mini>TO</mini> 往外
msg.camp.pet_cannot_use	寵物無法使用露營工具.
msg.camp.too_narrow	在此處建立帳篷的空間太窄.
msg.camp.unable_in_using_skill	在使用技能時,無法使用帳篷.
msg.cannot_explore_now	需要稍後再試.
msg.dawn_string	清晨
msg.dayntime	{0:day}{1:time}
msg.dungeon_exit_notice_msg	確定要離開地下城嗎?
msg.dungeon_exit_notice_title	Warning\n警告
msg.equal	{0}是 {1} 時
msg.forenoon_string	上午
msg.greater_or_equal	{0}是 {1} 以上時
msg.greaterthan	{0}比 {1} 大時
msg.insufficient_mana_to_useskill	魔法不足,無法使用技能.
msg.insufficient_stamina_to_useskill	耐力不足,無法使用技能.
msg.less	{0}比 {1} 小時
msg.less_or_equal	{0}是 {1} 以下時
msg.night_string	夜晚
msg.ps_shop.too_close_another	跟其他人的個人商店相隔太近.
msg.ruin_dungeon_exit_notice_msg	Return to the World\n確定要離開到遺跡入口處嗎?
msg.ruin_dungeon_exit_notice_title	Warning\n警告
msg.skill_rank_bonus	技能等級獎勵:
msg.skilllevel_equal	{0} 等級 {1} 時
msg.skilllevel_greather_or_equal	{0} 等級 {1} 以上時
msg.skilllevel_less_or_equal	{0} 等級 {1} 以下時
msg.thedayaftertomorrow_string	後天
msg.time_after_1	{0}日 {1}個小時 {2}分鐘後
msg.time_after_2	{0}日 {1}個小時後
msg.time_after_3	{0}日 {1}分鐘後
msg.time_after_4	{0}日後
msg.time_after_5	{0}個小時 {1}分鐘後
msg.time_after_6	{0}個小時後
msg.time_after_7	{0}分鐘後
msg.today_string	今天
msg.tomorrow_string	明天
msg.untrain_notice	{0} 技能降級\n
msg.untrain_result_decrase	\n{0} {1} 減少
msg.untrain_result_increase	\n{0} {1} 增加
msg.untrain_result_notice	未經訓練效果如下\n
msg.untrain_reward_ap	\n技能點數增加 {0} 點
msg.useitemresurrection_remote_failed	角色的名稱輸入錯誤,或者該角色不是無法行動的狀態.
msg.wand_mana_dried_out	與魔杖對應的魔法屬性消失了!!
myknightsdescmgr.1	神聖之力
myknightsdescmgr.2	力量
myknightsdescmgr.3	智力
myknightsdescmgr.4	敏捷
myknightsdescmgr.5	意志
myknightsdescmgr.6	幸運
myknightsdescmgr.7	使徒
myknightsdescmgr.8	一般怪物
myknightsdescmgr.9	歷史
myknightsdescmgr.10	物品
myknightsdescmgr.11	先知
myknightsdescmgr.12	人物
myknightsdescmgr.13	完成
myknightsdescmgr.14	{0}日
myknightsdescmgr.15	{0}時間
myknightsdescmgr.16	需要
myknightsdescmgr.17	\n(現實 {0})
myknightsdescmgr.18	這個見習騎士不存在.
myknightsdescmgr.19	目前見習騎士無法執行任務.
myknightsdescmgr.20	見習騎士因為壓力太大而拒絕了任務.
myknightsdescmgr.21	這是無效的任務.
myknightsdescmgr.22	領導力等級不夠,無法執行任務.
myknightsdescmgr.23	已經有任務了.
myknightsdescmgr.24	無法建立任務.
myknightsdescmgr.25	無法追加任務.
myknightsdescmgr.26	這是無法重複進行的任務.
myknightsdescmgr.27	領導力等級不夠,無法執行任務.
myknightsdescmgr.28	沒有能執行任務的關鍵字.
myknightsdescmgr.29	並非能執行任務的見習騎士.
myknightsdescmgr.30	沒有需要聘請的人員.
myknightsdescmgr.31	好感度不足,無法執行任務.
myknightsdescmgr.32	任務成功率太低,所以無法執行.
object.bank_defaultname	銀行
object.character_dump_server	豎琴
object.item_blessed	受祝福的
object.item_incompleted	(未完成)
object.item_option_addcondition_onattack	在{0}%機率的攻擊賦予 {1}屬性
object.item_option_decrease	{0} {1} 減少
object.item_option_decrease_percent	{0} {1} % 減少
object.item_option_increase	{0} {1} 增加
object.item_option_increase_percent	{0} {1}% 增加
object.item_option_set_permil	{0} 變為現在的 {1}%
object.item_option_set_to	{0} 固定為 {1}
object.manual_level	\n\n難易度 : {0}
object.manual_level_training	\n\n難易度 : 練習等級
object.moongate_desc	通往{0}的\n{1}星月門
object.moongate_name	{0}星月門
object.moongate_name_2	{0}星月門
object.pet_name	{0}的{1}
object.sealbreaker_and_sealname	{0} 解開了 {1}
object.sealstone_bangor	班克爾的封印石
object.sealstone_ciar	賽維爾地下城的封印石
object.sealstone_dugald	杜加德走廊的封印石
object.sealstone_fiodh	菲歐納的封印石
object.sealstone_math	瑪斯地下城的封印石
object.sealstone_rabbie	萊比地下城的封印石
partyboarddescmgr.1	迷你遊戲
partyboardmgr.1	練習等級
partyboardmgr.2	沒有限制
partyboardmgr.3	累計等級 {0} 以上
partyboardmgr.4	{0} {1} 以上
partyboardmgr.5	秘密
partyboardmgr.6	公開
partyboardmgr.7	普通
partyboardmgr.8	地下城
partyboardmgr.9	競技場
partyboardmgr.10	合奏
partyboardmgr.11	全看
partyboardmgr.12	無限制
partyboardmgr.13	無限制
partyboardmgr.14	無限制
partyboardmgr.15	無限制
partyboardmgr.16	無限制
partyboardmgr.17	無限制
partyboardmgr.18	{0} 等級
partyboardmgr.19	{0} 等級
partyboardmgr.20	騎士團組隊
pccarddescmgr.1	生命值
pccarddescmgr.2	魔法值
pccarddescmgr.3	耐力值
pccarddescmgr.4	力量
pccarddescmgr.5	智力
pccarddescmgr.6	敏捷
pccarddescmgr.7	意志
pccarddescmgr.8	幸運
pccarddescmgr.9	{0:能力值} -{1:數值}
pccarddescmgr.10	{0:能力值} +{1:數值}
pccarddescmgr.11	{0:能力值} x1/{1:數值}
pccarddescmgr.12	{0:能力值} x{1:數值}
pccarddescmgr.13	{0:角色卡名稱} 獎勵\n\n{1:獎勵數據清單}
privatefarmdescmgr.1	<color={0}>{1} 세트 효과\n
privatefarmdescmgr.2	<color=3>데코 세트</color>\n
privatefarmdescmgr.3	증가\n
questresult.1	王城鍊金術師活動點數 {0}
questresult.2	杜卡特 {0}
questresult.3	神聖經驗值 {0}
questresult.4	統御經驗值 {0}
questresult.5	訓練點數 {0}
questresult.6	點數任務點數 {0}
recommendflagtable.1	經驗值 +{0}
recommendflagtable.2	{0} - 推薦者獲得推薦經驗值{1}.
setitemmgr.1	增加
setitemmgr.2	減少
setitemmgr.3	增加
setitemmgr.4	減少
setitemmgr.5	以無法提升組合效果的道具將無法使用.
setitemmgr.6	組合效果已經以 {0}道具將不會使用.
setparameter.1	{0}
setparameter.2	{0}秒
setparameter.3	{0} {1} 細緻工匠
setparameter.4	突擊人類, 精靈時可以不需盾牌可以使用的細緻工匠
setparameter.5	特定技能 {0} 細緻工匠
setparameter.6	修練值
setparameter.7	{0} {1} 等級
setparameter.8	突擊 人類, 精靈時沒有盾牌也可使用
setparameter.9	特定技能 {0} 等級
setparameter.10	{0} {1} 等級 \n({2} {3})
setparameter.11	冷卻時間
shapeshiftdescmgr.1	沒有獎勵
shapeshiftdescmgr.2	生命力
shapeshiftdescmgr.3	魔法
shapeshiftdescmgr.4	耐力值
shapeshiftdescmgr.5	力量
shapeshiftdescmgr.6	智力
shapeshiftdescmgr.7	敏捷
shapeshiftdescmgr.8	意志
shapeshiftdescmgr.9	幸運
shapeshiftdescmgr.10	最小攻擊力
shapeshiftdescmgr.11	最大攻擊力
shapeshiftdescmgr.12	防禦
shapeshiftdescmgr.13	保護
shapeshiftdescmgr.14	<color=4>{0:獎勵種類}</color>  <color=5>+{1:獎勵值}</color>
shapeshiftdescmgr.15	<color=4>{0:獎勵種類}</color>  <color=5>+{1:獎勵值}%</color>
shapeshiftdescmgr.16	魔法防禦
shapeshiftdescmgr.17	魔法保護
skillpromotiondescmgr.1	參加費不足.
skillpromotiondescmgr.2	今天再也無法應試.
skillpromotiondescmgr.3	非可升段的技能.
skillpromotiondescmgr.4	非可升段的等級.
specializationdescmgr.1	修行的璞黎
specializationdescmgr.2	挑戰的璞黎
specializationdescmgr.3	交感的璞黎
specializationrequirement.1	生命值
specializationrequirement.2	魔法值
specializationrequirement.3	耐力值
specializationrequirement.4	體力
specializationrequirement.5	智力
specializationrequirement.6	敏捷
specializationrequirement.7	意志
specializationrequirement.8	幸運
specializationrequirement.9	最大傷害值
specializationrequirement.10	最小傷害值
specializationrequirement.11	魔法攻擊力
specializationrequirement.12	防禦
specializationrequirement.13	保護
specializationrequirement.14	魔法防禦
specializationrequirement.15	魔法保護
specializationrequirement.16	防禦貫通
specializationrequirement.17	重盔甲
specializationrequirement.18	輕盔甲
specializationrequirement.19	{0}或是{1}
specializationrequirement.20	{0}或是{1}
specializationrequirement.21	{0}或是{1}
synthesismgr.1	(dev) %s 隨機前 [ %f ]
synthesismgr.2	隨機前 [ %f ]
synthesismgr.3	(dev) {0} 隨機前 [ {1} ]
synthesismgr.4	隨機後 [ {0} ]
talentdescmgr.1	新手
talentdescmgr.2	初級
talentdescmgr.3	見習
talentdescmgr.4	街頭
talentdescmgr.5	業餘
talentdescmgr.6	職業
talentdescmgr.7	首席
talentdescmgr.8	高級
talentdescmgr.9	一流
talentdescmgr.10	特級
talentdescmgr.11	達人
talentdescmgr.12	皇家
talentdescmgr.13	冠軍
talentdescmgr.14	一代
talentdescmgr.15	大師
talentdescmgr.16	一代宗師 
usercreatedtotemdescmgr.1	力量
usercreatedtotemdescmgr.2	防禦
usercreatedtotemdescmgr.3	生命值
usercreatedtotemdescmgr.4	意志
usercreatedtotemdescmgr.5	耐力值
usercreatedtotemdescmgr.6	幸運
usercreatedtotemdescmgr.7	最大傷害值
usercreatedtotemdescmgr.8	暴擊傷害值
usercreatedtotemdescmgr.9	平衡性
usercreatedtotemdescmgr.10	智力
usercreatedtotemdescmgr.11	敏捷
usercreatedtotemdescmgr.12	暴擊率
usercreatedtotemdescmgr.13	魔法值
usercreatedtotemdescmgr.14	魔法防禦
usercreatedtotemdescmgr.15	魔法傷害值
usercreatedtotemdescmgr.16	肉身之輪
usercreatedtotemdescmgr.17	精神之輪
usercreatedtotemdescmgr.18	敏銳力之輪
usercreatedtotemdescmgr.19	精巧之輪
usercreatedtotemdescmgr.20	魔力之輪
usercreatedtotemdescmgr.21	最大生命值
usercreatedtotemdescmgr.22	最大耐力值
usercreatedtotemdescmgr.23	最大魔法值
usercreatedtotemdescmgr.24	最大傷害值
usercreatedtotemdescmgr.25	最小傷害值
usercreatedtotemdescmgr.26	最大負傷率
usercreatedtotemdescmgr.27	最小負傷率
usercreatedtotemdescmgr.28	洞察之眼傷害
usercreatedtotemdescmgr.29	狀態支援持續時間
usercreatedtotemdescmgr.30	集中引誘持續時間
usercreatedtotemdescmgr.31	再生之域效果範圍
usercreatedtotemdescmgr.32	力量團聚傷害累積
usercreatedtotemdescmgr.33	洞察之眼之輪
usercreatedtotemdescmgr.34	狀態支援之輪
usercreatedtotemdescmgr.35	集中引誘之輪
usercreatedtotemdescmgr.36	再生之域之輪
usercreatedtotemdescmgr.37	力量團聚之輪
usercreatedtotemdescmgr.38	秒
usercreatedtotemelement.1	{0}LV:{1} +{2}
