card_select.avail_basic	此角色可使用基本角色卡來創造
pli_charactergeneralframe.25	艾維卡的月光\t<color=1>{0}</color>\n
pli_charactergeneralframe.26	{0} 技能\t<color=1>可使用</color>\n
pli_charactergeneralframe.27	等級 {0}
pli_charactergeneralframe.28	{0}\n{1}\n權力時間: {2}年 {3}月 {4}日 {5}時 {6}分 {7}秒止
pli_charactergeneralframe.29	{0}\n{1}\n權力期間: {2}年 {3}月 {4}日止
pli_charactergeneralframe.30	收集率 : {0}%\n
pli_charactergeneralframe.31	代入寵物點數
pli_charactergeneralframe.32	生命力
pli_charactergeneralframe.33	魔法
pli_charactergeneralframe.34	耐力
pli_charactergeneralframe.35	力量
pli_charactergeneralframe.36	智力
pli_charactergeneralframe.37	敏捷
pli_charactergeneralframe.38	意志
pli_charactergeneralframe.39	幸運
pli_charactergeneralframe.40	目前{0} : {1} \n- 此生的 {2} : {3}\n (此生的 {4}{} 前世已度過. 若是以寵物卡片來重生的情況則不獲取套用.)
pli_charactergeneralframe.41	目前{0} : {1} \n- 前生的 {2} : {3}\n<color=4>- 此生的 {4} : {5}</color>\n (前生與此生的 {6} 中較大值之 目前{7}套用.)
pli_charactergeneralframe.42	目前{0} : {1} \n- 此生的 {2} : {3}\n (此生的 {4}{} 前世已度過.)
pli_charactergeneralframe.43	今生提升的寵物角色的等級.\n\n一段生命中一次最大可成長到200等級, 重生後可以從1等級重新開始.
pli_charactergeneralframe.44	各段生命中到達等級以累積等級來合算.\n<color = 1>寵物的累積等級 : {0}</color>\n\n
pli_charactergeneralframe.45	目前等級達 50 以上時, 可以享受愛爾琳的自然物之守護氣息套用等多樣的BONUS效果.待在愛爾琳的時間越長便可更熟練的操縱守護的氣息.\n
pli_charactergeneralframe.46	透過與主人多樣的活動,可以累積重生點數, {0}點數達成時即可重生.\n\n
pli_charactergeneralframe.47	{0}的寵物點數要全數代入嗎?
pli_charactergeneralframe.48	似乎無法獨自重生.\n請以被主人召喚的狀態下重新嘗試.
pli_charactergeneralframe.49	若想讓寵物重生,距離上次重生需經1日.
pli_charactergeneralframe.50	{0}分{1}秒後,愉快的Japari公園效果將消失.
pli_charactergeneralframe.51	{0}秒後,愉快的Japari公園效果將消失.
pli_charactergeneralframe.52	{0}分{1}秒後,會成為能夠再次獲得愉快的Japari公園效果的狀態.
pli_charactergeneralframe.53	{0}秒後,會成為能夠再次獲得愉快的Japari公園效果的狀態.
pli_charactermyknightsframe.1	{0}名 / {1}名
pli_charactermyknightsframe.2	目前統御經驗值 : {0}\n下個領導力等級 : {1}
pli_charactermyknightsframe.3	交談過程中無法開啟見習騎士團培育任務佈告欄.
pli_charactermyknightsframe.4	離開營地
pli_charactermyknightsframe.5	進入營地
pli_characterpetframe.1	名字表儲存失敗.
pli_characterpetspecialtalentframe.1	特化特技
pli_characterpetspecialtalentframe.2	特技詳情
pli_characterpetspecialtalentframe.3	<color=2><outlinecolor=3>該技能發動條件</outlinecolor></color>\n
pli_characterpetspecialtalentframe.4	<color=2><outlinecolor=3>該特技基本效果(寵物特技等級效果)</outlinecolor></color>\n
pli_characterpetspecialtalentframe.5	目前可發動的特技
pli_characterpetspecialtalentframe.6	特技效果
pli_characterpetspecialtalentframe.7	<color=2><outlinecolor=3>等級 {0} 追加效果(玩家特技等級效果)</outlinecolor></color>\n
pli_characterpetspecialtalentframe.8	特技使用
pli_characterpetspecialtalentframe.9	<color=2><outlinecolor=3><特技發動></outlinecolor></color>\n
pli_characterpetspecialtalentframe.10	特技發動計量條100%充值時, 點選寵物快捷欄位的特技圖示後使用\n\n
pli_characterpetspecialtalentframe.11	<color=2><outlinecolor=3><特技發動計量條充值方法></outlinecolor></color>\n
pli_characterpetspecialtalentframe.12	\n但,{0}每秒可充值的最大計量條為{1}
pli_characterreputationframe.1	(今天 <color=2>%.1f</color>/%d)\n\n
pli_characterreputationframe.2	(今天 %.1f/%d)\n\n
pli_characterreputationframe.3	1日最多可提升 {0}點.\n\n
pli_characterreputationframe.4	目前經驗值 : %.1f\n
pli_characterreputationframe.5	下一等級 : %.1f\n
pli_characterreputationframe.6	確定再重新進行{0} 等級區間嗎?\n若是重新進行,追加獲得的獎勵將進行初始化.\n重新進行 {0} 等級區間到最終達成時,能夠獲得追加獎勵.
pli_characterreputationframe.7	從{0}開始的評判到最終達成時,隨機的 {1} 追加獲得.\n從{0}開始的評判在50等級區間能夠重新進行,並重新評判到最終達成時,能夠追加的獲得 {1}.
pli_chathelper.1	短時間內無法輸入很多訊息,請等一下再試試喔
pli_choicetalentview.1	{0}才能修練值套用為2倍.
pli_choicetalentview.2	確定要選擇{0}才能嗎?
pli_collecthuntview.1	打怪 ({0}/{1})
pli_collectionframe.1	人氣
pli_collectionframe.2	蒐集
pli_collectionframe.3	蒐集
pli_collectionframe.4	帶來
pli_collectionframe.5	手續費: {0} Gold
pli_collectionframe.6	蒐集取消
pli_collectionframe.7	物品欄上無空位.
pli_collectionframe.8	請選擇所蒐集的道具.
pli_collectionlistframe.1	並沒有持有可使用的染色劑.
pli_collectionlistframe.2	請選擇要使用的染色劑.
pli_collectionlistframe.3	服裝
pli_collectionlistframe.4	帽子
pli_collectionlistframe.5	手套
pli_collectionlistframe.6	鞋子
pli_collectionlistframe.7	長袍
pli_collectionlistframe.8	     
pli_collectionlistframe.9	(女)
pli_collectionlistframe.10	(男)
pli_collectionlistframe.11	{0}  {1} / {2}
pli_collectionlistframe.12	請輸入查詢內容.
pli_collectionlistframe.13	尾巴
pli_collectionlistframe.14	臉部裝飾
pli_collectnotifyview.1	{0} 打怪成功!
pli_collectnotifyview.2	{0} 變身蒐集完成!
pli_collectnotifyview.3	{0} 變身蒐集成功!
pli_collectshapedetailview.1	蒐集機率 {0}%
pli_collectshapedetailview.2	蒐集機率 <color=2>{0}</color><mini>({1})</mini>%
pli_collectshapeitem.1	解除變身變回到原本的樣子.\n在圖示列按滑鼠右鍵,或是登錄至快捷鍵來使用.
pli_collectshapeitem.2	解除變身
pli_collectshapeview.1	全部選擇
pli_collectshapeview.2	F等級
pli_collectshapeview.3	E等級
pli_collectshapeview.4	D等級
pli_collectshapeview.5	C等級
pli_collectshapeview.6	B等級
pli_collectshapeview.7	A等級
pli_collectshapeview.8	9等級
pli_collectshapeview.9	8等級
pli_collectshapeview.10	7等級
pli_collectshapeview.11	6等級
pli_collectshapeview.12	5等級
pli_collectshapeview.13	4等級
pli_collectshapeview.14	3等級
pli_collectshapeview.15	2等級
pli_collectshapeview.16	1等級
pli_collectshapeview.17	NPC
pli_collectshapeview.18	蒐集 ({0}/{1})
pli_combocardcustomizeconfirmview.1	升段徽章 {0} 個
pli_combocardcustomizeview.1	連續技卡片自由設定
pli_combocardcustomizeview.2	[消耗升段徽章後可將連續技卡片的欄位替換為想要的3段技能.\n選擇連續技卡片後請在想要替換的欄位中放入技能圖示.]
pli_combocardcustomizeview.3	請將技能圖示放到連續技卡片欄位中.
pli_commercecontrolview.1	貿易中斷
pli_commercecontrolview.2	貿易要中斷嗎?\n放棄貿易可退回購買時杜卡特的75%.
pli_commercecontrolview.3	追蹤中止
pli_commercecontrolview.4	想要中止追蹤嗎?
pli_commerceinventoryframe.1	<color=4>位置</color> <color=5><outlinecolor=6>{0}</outlinecolor></color> <color=4>格 / 重量</color> <color=5><outlinecolor=6>{1}</outlinecolor></color>
pli_commercenotifyview.1	安全地區
pli_commercenotifyview.2	危險地區
pli_commercenotifyview.3	掠奪者注意
pli_commercenotifyview.4	掠奪者登場
pli_commercenotifyview.5	貿易開始
pli_commercenotifyview.6	追蹤開始
pli_commercepostview.1	<color=4><outlinecolor=5>{0}</outlinecolor></color> <color=6>杜卡特</color>
pli_commercepostview.2	{0} 杜卡特 / 重量 {1}
pli_commercepostview.3	<color=4>庫存</color> <color=5><outlinecolor=4>{0:stockCount}</color></outlinecolor><color=4>個</color>
pli_commercepostview.4	購買
pli_commercepostview.5	銷售
pli_commercepostview.6	要繳出保證書嗎?\n繳出保證書後銷售貿易品時\n獎勵效果會結束.
pli_commercepostview.7	走私販
pli_commercepostview.8	<color=4><outlinecolor=5>{0}</outlinecolor></color> <color=6>杜卡特</color>
pli_commercepostview.9	交換
pli_commercepostview.10	材料
pli_commercepostview.11	杜卡特
pli_commercepostview.12	{0:marterials} / 重量{1:weight}
pli_commercepostview.13	交換
pli_commercepostview.14	材料
pli_commercepostview.15	杜卡特
pli_commerceproductframe.1	<color=4>信用等級</color>
pli_commerceproductframe.2	<color=4>庫存不足</color>
pli_commerceproductframe.3	<color=4>位置不足</color>
pli_commerceproductframe.4	<color=4>剩餘重量</color>
pli_commerceproductframe.5	<color=4>擁有杜卡特</color>
pli_commerceproductframe.6	<color=4><outlinecolor=5>{0:price}</outlinecolor></color> <color=6>杜卡特</color>
pli_commerceproductframe.7	<color=6>重量</color> <color=4><outlinecolor=5>{0:weight}</outlinecolor></color>
pli_commerceproductframe.8	貿易品說明
pli_commerceproductframe.9	基本情報
pli_commerceproductframe.10	每位置最多數量 {0} 個
pli_commerceproductframe.11	每個重量 {0}
pli_commerceproductframe.12	購買資訊
pli_commerceproductframe.13	目前庫存 <color={0}>{1} 個</color>
pli_commerceproductframe.14	<color=4>原價 {0} 杜卡特</color>
pli_commerceproductframe.15	目前價格 <color=5>{0} 杜卡特</color>
pli_commerceproductframe.16	目前價格 <color=3>{0} 杜卡特</color> (折價率 {1}%)
pli_commerceproductframe.17	<color=2>信用等級 {0} 以上可購買</color>
pli_commerceproductframe.18	<color=5>限定商品</color>
pli_commerceproductframe.19	<color=4><outlinecolor=5>{0}</outlinecolor> 以上</color>
pli_commerceproductframe.20	<color=4><outlinecolor=5>{0}</outlinecolor> 以上</color>
pli_commerceproductframe.21	<color=4><outlinecolor=5>{0}</outlinecolor> 以上</color>
pli_commerceproductframe.22	以物換物
pli_commerceproductframe.23	材料不足
pli_commerceproductframe.24	<color=4><outlinecolor=5>以物換物</outlinecolor></color>
pli_commerceproductframe.25	交換情報
pli_commerceproductframe.26	叫出材料目錄的錯誤.
pli_commerceproductframe.27	\n {0:haveMarterialName} {1:count}
pli_commerceproductframe.28	<color=2>\n {0:doNotHaveMarterialName} {1:count}</color>
pli_commerceproductframe.29	交換所需的材料{0:marterials}
pli_commerceselectview.1	向運送小幫手付出杜卡特就可以使用該運送工具.
pli_commerceselectview.2	位置 {0:slot}</color>
pli_commerceselectview.3	重量 {0:weight}</color>
pli_commercesmugglerpostview.1	走私員
pli_commercesmugglerpostview.2	<color=4><outlinecolor=5>{0}</outlinecolor></color> <color=6>杜卡特</color>1
pli_commercesmugglerpostview.3	要提出保證書嗎?\n如果繳出保證書相關貿易品的價格\n獎勵會結束.
pli_commercesmugglerpostview.4	{0} 杜卡特 / 重量 {1}
pli_commercesmugglerpostview.5	<color=4>庫存</color> <color=5><outlinecolor=4>{0:stockCount}</color></outlinecolor><color=4>個</color>
pli_commercesmugglerpostview.6	販賣
pli_commercesmugglerpostview.7	走私販
pli_commercesmugglerpostview.8	<color=4><outlinecolor=5>{0}</outlinecolor></color> <color=6>杜卡特</color>
pli_commercetraceview.1	{0}名
pli_commercewantedview.1	外掠奪{0}名的物品
pli_commercewantedview.2	的物品掠奪
pli_commercewantedview.3	{0}名
pli_composeview2016.1	真的確定要清除目前已寫入的所有內容嗎?
pli_composeview2016.2	目前所選擇的樂器無法演奏該音符
pli_composeview2016.3	請輸入標題
pli_composeview2016.4	標題若為空白文字時無法使用.
pli_composeview2016.5	旋律或歌曲部分一定要輸入作曲和弦才行
pli_composeview2016.6	超過可作曲的字數時\n會已排除脫離該範圍的和弦的狀態來完成作曲.\n真的確定要繼續進行嗎?\n
pli_composeview2016.7	請選擇欲寫入樂譜的卷軸
pli_composeview2016.8	背包中沒有可使用的樂譜.\n真的確定要使用免費樂譜嗎?
pli_composeview2016.9	請確認歌曲的可作曲字數
pli_composeview2016.10	請確認旋律的可作曲字數
pli_composeview2016.11	請確認和音1的可作曲字數
pli_composeview2016.12	請確認和音2的可作曲字數
pli_composeview2016.13	<color=5>[旋律]</color>
pli_composeview2016.14	<color=5>[和音1]</color>
pli_composeview2016.15	<color=5>[和音2]</color>
pli_composeview2016.16	<color=5>[歌曲]</color>
pli_conditionsupportbuffslotview.1	銳利\n\n向隊員使用時\n<color=1>最少/最大傷害, 魔法攻擊力 {0}%增加\n暴擊{1}%增加\n平衡性 {2}%增加\n[要害貫通]無法疊加\n(向自身使用時, 只套用最近使用的特性效果)</color>\n\n向怪物使用時\n<color=1>最少/最大傷害, 魔法攻擊力 {0}% 減少\n暴擊{1}% 減少\n平衡性 {2}% 減少</color>\n\n
pli_conditionsupportbuffslotview.2	再生\n\n向隊員使用時\n<color=1>防禦, 魔法防禦 {0}%增加\n保護, 魔法保護 {1}%增加\n魔法,耐力恢復速度 {2}%增加</color>\n\n向怪物使用時\n<color=1>防禦, 魔法防禦 {0}% 減少\n保護, 魔法保護 {1}% 減少\n魔法,耐力恢復速度 {2}% 減少</color>\n\n
pli_conditionsupportbuffslotview.3	迅速\n\n向隊員使用時\n<color=1>移動速度 {0}%增加\n攻擊延遲 {1}% 減少\n遠距離攻擊時瞄準速度 {2}%增加\n魔法施展速度 {3}%增加\n鍊金術施展速度 {4}%增加\n[快速]無法疊加\n(向自身使用時, 只套用最近使用的特性效果)</color>\n\n向怪物使用時\n<color=1>移動速度 {0}% 減少\n攻擊延遲 {1}%增加\n遠距離攻擊時瞄準速度 {2}% 減少\n魔法施展速度 {3}% 減少\n鍊金術施展速度 {4}% 減少</color>\n\n
pli_conditionsupportbuffslotview.4	隱身\n\n向隊員使用時\n<color=1>{0}秒期間認知解除\n向相同隊員30秒期間無法再次使用\n[集中引誘]效果套用之隊員無法使用</color>\n\n向怪物使用時\n<color=1>{0}秒期間認知解除\n(每個怪物最多可使用3次)</color>\n\n
pli_conditionsupportbuffslotview.5	逆轉\n\n向隊員使用時\n<color=1>傷害的 {0}%的生命力恢復\n(最大 {2}為止套用)</color>\n\n向怪物使用時\n<color=1>傷害的 {1}%的追加傷害套用\n(最大 {2}為止套用)</color>\n\n
pli_continentmapview.1	尋求協助者
pli_continentmapview.2	柯勒斐雷的祝福 \\n 剩餘時間: {0}分 {1}秒
pli_continentmapview.3	주위의 파티원과 함께 {0}{로} 이동하시겠습니까?\n[아니오]를 누를 경우 혼자 이동합니다.
pli_continentmapview.4	營火精靈訪問的營火\n剩餘時間 : {0}分 {1}秒
pli_continentmapview.5	\n<color=7>* {0} 訪問中</color>
pli_cookingview.0	不是可以使用的狀態.\n請向房屋主人詢問.
pli_cookingview.1	必須要支付使用費{0}個金幣.\n請問要使用嗎?
pli_cookingview.2	料理種類
pli_cookingview.3	請加入'{0}'
pli_createautobotview.1	自動飛行
pli_createautobotview.2	確認
pli_createautobotview.3	請輸入名稱.
pli_createautobotview.4	自動飛行建立中.
pli_createeventpeteurope.1	製作寵物
pli_createeventpeteurope.2	製作
pli_createeventpeteurope.3	輸入寵物名稱
pli_createeventpeteurope.4	取消
pli_createeventpeteurope.5	進行中
pli_createeventpeteurope.6	製作寵物中.
pli_createeventpeteurope.7	(中文2~6字, 英文3~12字)
pli_crystalizeview.1	相關技能等級：{0}
pli_crystalizeview.2	未獲得
pli_crystalizeview.3	<color=2>要製造該結晶 {0} 技能要達到 {1}級以上.</color>
pli_crystalizeview.4	<color=2>要製造該結晶,必須具備 {0} 技能.</color>
pli_crystalizeview.5	魔法技能等級：{0}
pli_crystalizeview.6	魔法施展次數：<color=%d>%d/%d</color>
pli_crystalizeview.7	製造結晶
pli_crystalizeview.8	開始
pli_crystalizeview.9	施展委託
pli_crystalizeview.10	施展委託只能在隊伍內部進行. 首先請加入隊伍.
pli_crystalizeview.11	沒有可進行施展委託的隊伍隊友.
pli_crystalizeview.12	魔法施展委託
pli_crystalizeview.13	{0}的
pli_crystalizeview.14	{0}的
pli_crystalizeview.15	{0} {1}
pli_crystalizeview.16	{0} {1}
pli_crystalizeview.17	成功率 : {0}%
pli_crystalizeview.18	將完成的結晶交給魔法施展者
pli_crystalizeview.19	確認
pli_crystalizeview.20	取消
pli_crystalizeview.21	委託施展魔法的角色視窗
pli_crystalizeview.22	接受委託施展魔法的角色視窗
pli_crystalizeview.23	魔法施展次數：<color=%d>%d/%d</color>
pli_crystalizeview.24	魔法施展次數：<color=%d>%d/%d</color>
pli_crystalizeview.25	相關技能等級：{0}
pli_crystalizeview.26	未獲得
pli_crystalizeview.27	<color=2>要製造該結晶 {0} 技能要達到 {1}級以上.</color>
pli_crystalizeview.28	<color=2>要製造該結晶,必須具備 {0} 技能.</color>
pli_crystalizeview.29	魔法技能等級：{0}
pli_crystalizeview.30	魔法施展次數：<color={0}>{1}/{2}</color>
pli_crystalizeview.31	製造結晶
pli_crystalizeview.32	開始
pli_crystalizeview.33	施展委託
pli_crystalizeview.34	施展委託只能在隊伍內部進行. 首先請加入隊伍.
pli_crystalizeview.35	沒有可進行施展委託的隊伍隊友.
pli_crystalizeview.36	魔法施展委託
pli_crystalizeview.37	{0}的
pli_crystalizeview.38	{0}的
pli_crystalizeview.39	{0} {1}
pli_crystalizeview.40	{0} {1}
pli_crystalizeview.41	成功率 : {0}%
pli_crystalizeview.42	將完成的結晶交給魔法施展者
pli_crystalizeview.43	確認
pli_crystalizeview.44	取消
pli_crystalizeview.45	委託施展魔法的角色視窗
pli_crystalizeview.46	接受委託施展魔法的角色視窗
pli_crystalizeview.47	魔法施展次數 : <color={0}>{1}/{2}</color>
pli_crystalizeview.48	魔法施展次數 : <color={0}>{1}/{2}</color>
pli_crystalizeview.49	自動生產
pli_crystalizeview.50	{0} 個
pli_crystalmanagementview.1	請選擇欲儲存的結晶.\n點選儲存的結晶時可以從欄位中移除.
pli_crystalmanagementview.2	{0}個
pli_crystalmanagementview.3	{0}個
pli_destroyexpiredconfirmview.1	{0:itemname} ({1:itemcount}個)
pli_dicebattleview.1	沒有勝負!可以再次扔骰子.
pli_dicebattleview.2	要馬上結束對戰嗎?\n對戰內容將不會儲存
pli_diceeventactionview.1	向後移動一格!
pli_diceeventactionview.2	向前移動一格!
pli_diceeventactionview.3	向前移動兩格!
pli_diceeventactionview.4	向前移動三格!
pli_diceeventactionview.5	向前移動四格!
pli_diceeventactionview.6	向前移動五格!
pli_diceeventactionview.7	發動迷你遊戲!
pli_diceeventactionview.8	發動結界!\n 必須擲出比1大的數字才可通過.
pli_diceeventactionview.9	發動結界!\n 必須擲出比2大的數字才可通過.
pli_diceeventactionview.10	發動結界!\n 必須擲出比3大的數字才可通過.
pli_diceeventactionview.11	獲得箱子!\n完成任務時會額外獲得獎勵.
pli_diceeventactionview.12	擲出-1.
pli_diceeventactionview.13	擲出1.
pli_diceeventactionview.14	擲出2.
pli_diceeventactionview.15	擲出3.
pli_diceeventactionview.16	擲出4.
pli_diceeventactionview.17	擲出5.
pli_dicegame_infoview.1	現在輪到{0}的隊伍.
pli_dicegame_infoview.2	這是{0}的隊伍持有的骰子清單.
pli_discipletransformequipactivationview.1	為已發動的理型.
pli_discipletransformequipactivationview.2	消耗後進行發動.\n發動後會變為專用道具並變為無法交易.\n確定要發動嗎?
pli_discipletransformequipactivationview.3	{0} {1}個
pli_discipletransformequipactivationview.4	{與}
pli_discipletransformequipactivationview.5	要發動的理型放到上方.
pli_discipletransformequipactivationview.6	請放上發動所需材料.
pli_discipletransformmanageview.1	確認要裝備{0}{ }嗎?\n
pli_discipletransformmanageview.2	{0} {1}個
pli_discipletransformmanageview.3	{與}
pli_discipletransformmanageview.4	被消耗.
pli_discipletransformmanageview.5	為獲得上位等級時可使用的欄位.
pli_discipletransformmanageview.6	裝備此理型後會變為專用道具並無法交易.\n確定要裝備嗎?
pli_discipletransformmanageview.7	{0}{ } 不足而裝備失敗.
pli_discipletransformmanageview.8	理型的耐久度為0.
pli_discipletransformpartsrepairview.1	請設定要重生的點數.
pli_discipletransformpartsrepairview.2	異界的精髓不足.
pli_discipletransformpartsrepairview.3	重生{0} 點數.
pli_discipletransformpartsrepairview.4	所需的異界的精髓 : {0}
pli_discipletransformpartsrepairview.5	擁有的異界的精髓 : {0}
pli_divineknightmainskillinfoframe.1	{0}等級\n{1}
pli_divineknightmainskillinfoframe.2	防禦系列技能等級合計獎勵:\n每5級使技能有效距離增加5cm\n每10級獲得額外防禦1\n每7級使增益效果持續時間增加0.3秒
pli_divineknightmainskillinfoframe.3	束縛系列技能等級合計獎勵:\n每5級增加5cm射程\n每7級使神聖傷害增加5
pli_divineknightmainskillinfoframe.4	懲戒系列技能等級合計獎勵:\n每10級增加5%額外傷害
pli_divineknightmainskillinfoframe.5	等級\n{0}
pli_divineknightmainskillinfoframe.6	聖靈同步系列技能等級合計獎勵:\n每 10等級防禦額外增加 3 \n每 10等級寵物保護額外 3 
pli_divineknightskillmanageview.1	潛力技能等級已被重置
pli_divineknightskillmanageview.2	無法重置潛力技能等級
pli_divineknightskillmanageview.3	目前神聖經驗值: {0}\n下一個神聖等級: {1}
pli_divineknightskillmanageview.4	神聖技能各有著可以強化技能能力或\n額外獲得效果的5個潛力技能.\n\n可通過執行任務來提升神聖等級\n並通過以此獲得的點數\n來提升潛力技能的等級.\n\n只要不是正在執行突襲任務\n隨時都可以自由分配潛力技能.\n\n* 未習得或0等級的潛力技能\n將不會被發動.\n\n* 潛力技能的修練值\n只有在等級達到最高等級後才可獲得.\n\n* 完成分配後須按套用按鈕\n才可套用發生變更的內容.
pli_divineknightskillmanageview2.1	技能初始化
pli_divineknightsubskillinfoframe.1	\n透過修練來提升等級限制\n 目前 {0} / 最大 {1}
pli_divineknightsubskillinfoframe.2	潛力技能等級提升了一階段.\n利用Ctrl + 點擊可以一次提升到最大等級.
pli_divineknightsubskillinfoframe.3	潛力技能下降了一個等級.\n利用Ctrl + 點擊可以一次初始化至 0等級.
pli_donationrankingview.1	傑哈
pli_donationrankingview.2	愛莉妮朵
pli_donationrankingview.3	鄧肯
pli_donationrankingview.4	奇斯
pli_donationrankingview.5	伊文
pli_donationview.1	捐贈箱
pli_donationview.2	雷米斯慈善捐贈基金
pli_donationview.3	{0}總捐贈金額
pli_donationview.4	金額
pli_donationview.5	捐贈銀行存款
pli_donationview.6	以上金額捐贈給雷米斯慈善基金.\n捐贈金額不會有手續費.
pli_donationview.7	匿名捐贈
pli_donationview.8	在法皇廳使用捐贈金進行慈善事宜時不會公開捐贈人和將受到幫助的人的名字.\n以匿名捐贈也會留下捐贈紀錄.
pli_donationview.9	確認
pli_donationview.10	取消
pli_donationview.11	{0} 捐贈
pli_donationview.12	要捐贈{0} 金幣嗎?
pli_donationview.13	金幣不足.
pli_donationview.14	要捐贈{0} 嗎?
pli_dramaepisodeitem.1	{0}回 - {1}
pli_dramaepisodeitem.2	現在在收看別的連續劇.
pli_dramaepisodeitem.3	{0}回
pli_dramaepisodeitem.4	{0}回首播 : {1}
pli_dramaepisodeitem.5	番外篇 : {0}
pli_dramaepisodeitem.6	番外篇 : {0}
pli_dramaepisodeitem.7	番外篇
pli_dramaepisodeitem.8	章節 {0}回的獎勵收到時 {1}會使用一張.請問要繼續嗎?
pli_dramaepisodeitem.9	章節 {0}回的獎勵收到時 {1}會使用美容幣.請問要繼續嗎?
pli_dramaepisodeitem.10	確認
pli_dramaepisodeitem.11	取消
pli_dramaepisodeitem.12	首播 :
pli_dramaepisodeitem.13	獲取獎勵需要{1}一張,確認繼續?
pli_dramaepisodeitem.14	獲取獎勵需要{1}點,確認繼續?
pli_dramaepisodeview.1	連續劇: {0}
pli_dramaepisodeview.2	{0}回\n{1}
pli_dramaepisodeview.3	最終章再次開始遊戲時{0}會使用一張.要開始嗎?
pli_dramaepisodeview.4	最終章再次開始遊戲時 {0} 會使用美容室代幣.要開始嗎?
pli_dramaepisodeview.5	全部再次開始遊戲時 {0} 會使用金幣.要開始嗎?
pli_dramaepisodeview.6	要結束現在欣賞中的章節嗎?
pli_dramaepisodeview.7	要欣賞這一篇章節嗎?
pli_dramaepisodeview.8	番外篇\n{0}
pli_dramaepisodeview.9	重播
pli_dramaepisodeview.10	只接受獎勵
pli_dramaepisodeview.11	取消
pli_dramaepisodeview.12	連續劇影片道具並不存在.
pli_dramaepisodeview.13	變更夥伴外型中無法觀看連續劇.
pli_dungeonguidecommon.1	[最初完成獎勵]\n初次完成該地下城時可以獲得的特別獎勵.
pli_dungeonguidecommon.2	可獲得獎勵
pli_dungeonguidemainview.1	[反覆完成確定獎勵獲得]\n\n要拿取{0}嗎?\n\n*反覆完成確定獎勵可以從前面的道具開始依序獲得.
pli_dungeonguidemainview.2	要移動至 {0} 入口嗎?
pli_dungeonguidemainview.3	目前程度沒有可以推薦的地下城.
pli_dungeonguidemainview.4	已依據目前傷害程度推薦地下城.
pli_dungeonguidemainview.5	已依據目前魔法攻擊力程度推薦地下城.
pli_dungeonpassview.1	無限制地下城通行證\nUnlimited Dungeon Pass
pli_dungeonpassview.2	選擇想要進入的地下城.
pli_dungeonpassview.3	進入
pli_dungeonpassview.4	取消
pli_dungeonpassview.5	此處沒有通往無限制地下城通行證的地下城.
pli_dungeonrankcleared.1	挑戰成功 !
pli_dungeonrankcleared.2	確認 OK
pli_echostoneawakeningview.1	所需 AP <color=1>{0} AP</color>
pli_echostoneawakeningview.2	所需 AP <color=2>{0} AP</color>
pli_echostoneawakeningview.3	請放上回音石.
pli_echostoneawakeningview.4	請放上回音石覺醒劑.
pli_echostoneawakeningview.5	請放上欲覺醒的回音石與覺醒劑.
pli_echostoneawakeningview.6	AP 不足.
pli_echostoneawakeningview.7	{0} <color=5>{1}等級</color>
pli_echostoneawakeningview.8	{0} 效果套用
pli_echostoneawakeningview.9	覺醒
pli_echostoneawakeningview.10	覺醒回音石的話會變為專用道具且無法交易.\n真的確定要覺醒嗎?
pli_echostoneawakeningview.11	通知
pli_echostoneawakeningview.12	覺醒此道具的話就會變為你的專用道具\n專用暫時解除效果會消失.\n真的確定要覺醒嗎?
pli_echostoneawakeningview.13	覺醒時會消耗許多 AP.\n所需 AP : <color=5>{0} AP</color>\n真的確定要覺醒嗎?
pli_echostonecombineview.1	將滑鼠移到按鍵上的話可查看詳細說明.
pli_echostoneconvertview.1	請放上欲分解的回音石.
pli_echostoneconvertview.2	請放上回音石.
pli_echostoneconvertview.3	此為高等級的回音石. 確定要繼續嗎?
pli_echostoneconvertview.4	通知
pli_echostoneconvertview.5	{0} 等級
pli_echostoneconvertview.6	{0} {1}個
pli_echostoneupgraderesultview.1	{0} {1} +{2} 增加
pli_echostoneupgraderesultview.2	{0} {1} 增加
pli_echostoneupgraderesultview.3	{0} 等級
pli_echostoneupgraderesultview.4	升級成功!
pli_echostoneupgraderesultview.5	升級失敗!
pli_echostoneupgraderesultview.6	提煉成功!
pli_echostoneupgradeview.1	請放上回音石.
pli_echostoneupgradeview.2	請放上欲升級的回音石.
pli_echostoneupgradeview.3	升級回音石的話會變為專用道具且無法交易.\n真的確定要升級嗎?
pli_echostoneupgradeview.4	通知
pli_echostoneupgradeview.5	請放上欲升級的回音石.
pli_echostoneupgradeview.6	{0} 等級
pli_echostoneupgradeview.7	{0} {1}
pli_echostoneupgradeview.8	{0} / {1}
pli_echostoneupgradeview.9	{0} 難易度成功率獎勵專用
pli_echostoneupgradeview.10	回音石達到最高等級.
pli_echostoneupgradeview.11	剩餘嘗試次數皆使用完畢.
pli_echostoneupgradeview.12	升級此道具的話就會變為你的專用道具\n專用暫時解除效果會消失.\n真的確定要升級嗎?\n(就算升級失敗專用暫時解除效果也會消失.)
pli_egorepairerview.1	修理經典精靈武器
pli_egorepairerview.2	耐久力 : <color=2>{0}</color> / {1}\n修理耐久度 : <color=2>{2}</color>積分\n每點數的修理率 : <color=2>{3}</color>%
pli_egorepairerview.3	確認
pli_egorepairerview.4	取消
pli_egoweaponabilityframe.1	提醒
