animaltraininguse.1	訓練杖已無法使用.
installkioskuse.1	沒有使用{0}的關係無法設置小賣店.
installkioskuse.2	小賣店可以雜貨店購買.
installkioskuse.3	沒有可以使用的小賣店.
installkioskuse.4	沒有可以使用的小賣店.
installkioskuse.5	小賣店要在背包裡才能使用.
installkioskuse.6	無法設置小賣店的位置.
installkioskuse.7	無法設置小賣店的位置.
installkioskuse.8	無法設置小賣店的位置.
installkioskuse.9	距離其他人的小賣店太近而無法設置.
installkioskuse.10	{0}的小賣店
installkioskuse.11	도용 카드 결재로 인한 피해 방지를 위해 거래불가 프로텍션이 적용 중입니다.\n거래불가 프로텍션은 {0}일 {1}시간 {2}분 후 해제되며,\n적용 기간 중에는 아이템 거래관련 행동이 제한됩니다.\n거래불가 프로텍션 해제 후, 다시 시도해 주세요.
installkioskuse.12	거래불가 프로텍션
installturret.1	了解裝備塔座鋼瓶和解除的動作.
installturretuse.1	向研發塔座鋼瓶的鍊金術師學習使用方法\n應該在使用上會更完美.
installturretuse.2	此地帶不穩而無法設置塔座鋼瓶.
installturretuse.3	在室內無法設置.
installturretuse.4	無法設置的塔座鋼瓶.
installturretuse.5	目前為無法設置塔座鋼瓶的狀態.
installturretuse.6	需要塔座鋼瓶.
intensiveprovocationuse.1	[邊境之痕]不足無法使用特性.
intensiveprovocationuse.2	[邊境之痕]不足無法使用特性.
intensiveprovocationuse.3	[{0}]的集中引誘效果,向 [{1}]發動了.\n套用了與嘲諷疊加的追加效果.\n暫時集中了所有怪物們的意識.
intensiveprovocationuse.4	[{0}]的集中引誘效果,向 [{1}]發動了.\n暫時集中了所有怪物們的意識.
interveneuse.1	無法使用攔截的狀態.
lancecharge.1	在太靠近的地方無法使用騎槍相關技能.
lancechargeuse.1	裝備騎槍才能使用該技能.
lancechargeuse.2	是無法使用騎槍衝擊的騎寵.
lancechargeuse.3	太沉重而無法使用.
lancechargeuse.4	寵物的主人才能使用.
lancestanceuse.1	裝備騎槍才能使用該技能.
lancestanceuse.2	現在無法使用技能. {0}秒後再次進行.
lifedrainalchemyuse.1	生命力充滿時無法使用吸取生命.
lifedrainalchemyuse.2	闇黑武士變身中無法使用吸取生命.
lifedrainalchemyuse.3	如要使用吸取生命必需裝備鋼瓶.
lifedrainalchemyuse.4	如要使用吸取生命,必須有吸取生命結晶.
lifedrainalchemyuse.5	如要使用吸取生命,必須有吸取生命結晶.
lifedrainalchemyuse.6	脫離攻擊可能範圍,技能取消.
lifedrainalchemyuse.7	對方已沒有可吸取的生命力
lifedrainalchemyuse.8	現在不能吸收該對象的生命.
lifedrainalchemyuse.9	目前吸取生命無效.
lifedrainalchemyuse.10	解除闇黑武士的狀態下,無法使用吸取生命.
lightningroaduse.1	因為魔杖的耐久度為 0, 因此無法使用雷氣鎖鏈的樣子.
lightningshielduse.1	現在寵物無法使用道具. {0}秒後請再次嘗試.
magiccraftuse.1	生產技能物.
magiccraftuse.2	{0} 是專用生產物.
magiccraftuse.3	所需距離和目標太遠.
magiccraftuse.4	要一次做出像這樣的生產品但魔法不足.
makechocostatueuse.1	結束活動.
makechocostatueuse.2	已經沒有耐久度無法使用.
makechocostatueuse.3	一定要持有巧克力材料才可以製作怪物巧克力.
makechocostatueuse.4	沒辦法照這怪物製作怪物巧克力.
makechocostatueuse.5	對已經無法行動的怪物製作巧克力是太殘忍的事情.
makechocostatueuse.6	怪物消失.
makechocostatueuse.7	製作怪物巧克力失敗.
makechocostatueuse.8	成功製作怪物巧克力.
makechocostatueuse.9	製作怪物巧克力失敗.
makechocostatueuse.10	沒有巧克力材料.
makechocostatueuse.11	沒有巧克力材料.
makefaliasportaluse.1	創出的法利亞斯區域已經存在著. 請退出隊伍後再次進行.
makefaliasportaluse.2	已經創出的法利亞斯區域存在著. 請退出隊伍後再次進行.
makefaliasportaluse.3	在搭乘的狀態無法使用.
makefaliasportaluse.4	在此地方無法使用.
makefaliasportaluse.5	在此地方無法使用.
makefaliasportaluse.6	在此地方無法使用.\n請到其它的地方使用.
makefaliasportaluse.7	為了要開啟通往法利亞斯的門\n需要法利亞斯的碎片.
makefaliasportaluse.8	在此地方無法使用.\n請到其它的地方使用.
makefaliasportaluse.9	為了要開啟通往法利亞斯的門\n需要法利亞斯的碎片.
makeillusiondecaluse.1	逐漸失去力氣.
manaforminguse.1	使用魔力凝聚需要濕式火盆.
manaforminguse.2	使用魔力凝聚附近必須有濕式火盆.
manaforminguse.3	製造{0}成功.
manaforminguse.4	製造{0}失敗.
manaforminguse.5	{0} 專用生產品.
manarecoveryuse.1	魔杖或集魔杖
manashielduse.1	魔法值不足,魔法盾技能已被取消.
manashielduse.2	無法使用魔法盾的狀態.
manashielduse.3	魔法值不足,無法使用魔法盾技能.
marionettecontroluse.1	正在使用其他技能.
marionettecontroluse.2	只有人偶活著狀態之下才可以進行操縱.
marionettecontroluse.3	休息途中無法操縱人偶.
marionettecontroluse.4	隱身中無法操縱人偶.
marionettesummonuse.1	耐力值不足無法使用技能.
marionettesummonuse.2	此地方無法使用.
marionettesummonuse.3	정숙 지역 안에 있으므로 소환을 할 수 없습니다.
metalextractionuse.1	{0}要進行需要乾式火盆.
metalextractionuse.2	{0}要進行附近需要有乾式火盆.
metalextractionuse.3	{0} 製作成功.
metalextractionuse.4	{0} 製作失敗.
metallurgyuse.1	工具耐久度變為0無法使用.
metallurgyuse.2	已超過使用期限.
metallurgyuse.3	要使用淘金術,右手必需裝備淘金用篩子.
metallurgyuse.4	無法在帳蓬內使用.
metallurgyuse.5	無法在船上使用.
metallurgyuse.6	未找到任何物品.
metallurgyuse.7	未找到任何物品.
metallurgyuse.8	裝備耐久度全部下降.
metallurgyuse.9	裝備耐久度全部下降.
metallurgyuse.10	淘金失敗.
metallurgyuse.11	這並不是我所可以去採集的淘金地.
meteorstrikeuse.1	集魔杖的耐久度變為 0而無法使用火石狂熱.
meteorstrikeuse.2	需要集魔杖.
mightofladecause.1	今天再也無法使用.
millinguse.1	{0} 專用生產品.
movingcastinguse.1	耐力值不足.移動投擲技能取消.
movingcastinguse.2	移動投擲無法使用的狀態.
movingcastinguse.3	耐力不足無法使用移動投擲.
msg.administrativepicking.fail	撿取物品失敗.
msg.administrativepicking.success	撿取物品成功.
msg.advreading_alreadyread	已經閱讀過的書.
msg.advreading_bookvanished	黑色魔法印章的力量使書消失了
msg.advreading_fail	仔細讀了這本書卻無法理解裡面的內容.
msg.advreading_sealvanished	魔法印章好像消失了.
msg.advreading_successbutnoresult	認真讀完一本書. 但現在對我沒什麼幫助.
msg.arrowrevolver.unable_durability	這個武器無法再使用.
msg.arrowrevolver_cannot_brokenbow	這把弓無法夠再繼續使用了.
msg.arrowrevolver_weaponbroken	這把弓無法夠再繼續使用了.
msg.bigblessing_cannot_expired	無法使用超過有效期限的物品.
msg.bigblessing_used	裝備物品上使用了大型祝福藥水.
msg.bigelemental.success	在裝備物品上使用{0}.
msg.blacksmith.just_before	只剩下最後的階段.
msg.blacksmith.progressed	完成{0}%.
msg.blacksmith_forgerequired	需要冶煉台.
msg.blacksmith_manualbroken	這張圖無法繼續使用了.
msg.blacksmith_quality_best	花費心思認真製作,完成了毫不遜色的{0}
msg.blacksmith_quality_better	完成了比一般常見的{0}更高水平的{0}.
msg.blacksmith_quality_dec	(品質降低)
msg.blacksmith_quality_dec_item	附加材料和工具的配合起了反效果.(品質降低)
msg.blacksmith_quality_even	(品質 0%)
msg.blacksmith_quality_even_item	好像附加材料和工具配合得不是很好.(品質 0%)
msg.blacksmith_quality_god	完成了與'神的作品一樣最高品質'的 {0}!
msg.blacksmith_quality_inc	(品質 +1%)
msg.blacksmith_quality_inc_item_best	附加材料和工具配合的不錯.(品質 +{0}%)
msg.blacksmith_quality_inc_item_better	附加材料和工具配合的好.(品質 +{0}%)
msg.blacksmith_quality_inc_item_normal	附加材料和工具的配合出現些許的效果.(品質 +{0}%)
msg.blacksmith_quality_normal	和商店販售的物品比起來,品質差不多.
msg.blacksmith_quality_reasonable	這個程度的話,可以比商店賣的物品使用更久.
msg.blacksmith_quality_waste	雖然是我做的{0}. 但是做的十分粗糙.即使要賣給別人\n.也只能用非常廉價的價格販售.
msg.blacksmith_quality_worse	雖然品質有點差,但修理一下就好了.
msg.blacksmith_quality_worst	雖然完成了,但做出品質差的{0}.
msg.blacksmith_resultbad	製作失敗...
msg.blacksmith_resultbest	製作非常成功~!!!
msg.blacksmith_resultfailbutitemcreated	雖然做的不怎樣. 但也總算完成了.
msg.blacksmith_resultgood	製作成功~!!!
msg.blacksmith_resultgood2	製作成功~!!!
msg.blacksmith_resultgoodbuttooeasy	雖然做成了.但東西太簡單了.
msg.blacksmith_resultworst	製作太失敗...
msg.blacksmith_tool_required_prepare	需要右手拿鐵錘.\n左手拿圖.
msg.blacksmith_toolbroken	無法繼續使用鐵匠鐵錘.
msg.blacksmith_toolrequired	需要右手拿鐵錘.\n左手拿設計圖.
msg.blessing_complete	在物品上使用祝福藥水.
msg.blessing_select_item	選擇要祝福的物品
msg.blockworld.auth_warning	要使用此技能必須要有 GM以上的權限才行\n必須要有 GM 或是 devCAT 的稱號才行.
msg.blockworld.instruction	點擊地面會有衝突支柱, 點擊衝突支柱的話支柱會消失.\n此技能是管理者技能,在Log裡面會留下使用記錄,所以使用時請注意.
msg.campfire.not_enough_firewoods	因為木柴不足,無法使用技能.
msg.campfire_campsharing_enabled	營火中不停的吃東西的話,沒多久就會胖到變成二個人.
msg.campfire_fell	身體感覺變暖和.
msg.campfire_make_desc	可以生營火
msg.campfire_make_requirementdesc	木柴
msg.campfire_make_title	生營火
msg.campfire_notusable_position	這裡是不能使用營火的位置(地方)
msg.campfire_relaxation_effect	增加休息技能的恢復速度
msg.campfire_something_intersected	營火使用的位置有移動的物體
msg.campfire_too_near_from_another	跟附近的營火過於接近
msg.campfire_toonarrow	地方太小,沒有辦法使用營火
msg.campkit_cannot_expired	無法使用超過有效期限的物品.
msg.chaingun_cannot_brokenbow	這把弓無法再使用了.
msg.chaingun_cannot_noarrow	需要5隻以上的箭.
msg.collecting.cannot_from_keeper_pet	當寵物看守個人商店時, 無法採集.
msg.collecting.cannot_in_camp	在露營內無法採集.
msg.collecting.cannot_in_ship	在船內無法進行採集.
msg.collecting.master_not_permitted	主人拒絕採集.
msg.collecting.pet_not_permitted	拒絕採集.
msg.compose.bardsong_added	在樂譜{0}增加
msg.compose_selectscrol	選擇記錄樂譜的卷軸.
msg.cook.know_essential_1	瞭解了{0}裡包含了{1}的事實.
msg.cook.know_essential_2	{0}的材料理像是包含了{1}.
msg.cooking_cannot_broken	無法再使用的{0}.
msg.cooking_cannot_noprop	為了做{0}所需要的{0}
msg.cooking_failed	料理失敗
msg.cooking_helpmsg_less	{0}像是少放了{1}~{2}.
msg.cooking_helpmsg_much	{0}像是多放了{1}~{2}.
msg.cooking_quality_best	完成了看起來非常好吃的料理!
msg.cooking_quality_better	完成了看起來非常可口的料理.
msg.cooking_quality_normal	料理完成
msg.cooking_quality_worse	完成了不知什麼口味的料理.
msg.cooking_quality_worst	完成了看起來非常難吃的料理.
msg.cooking_tool_required_prepare	料理時,雙手需要拿著料理工具.
msg.darknight.free_user	與主線任務相關的功能\n不包括在免費遊戲中.
msg.darknight.pvp_disabled	變身為闇黑武士的狀態下無法跟聖騎士 PVP.
msg.darknight.pvp_disabled_with_paladin	變身為闇黑武士的狀態下無法跟聖騎士 PVP.
msg.darknight.pvp_enabled	變身為闇黑武士的狀態下,可以和聖騎士PVP.
msg.darknight.tamescroll_not_found	沒有黑色魔族卷軸.
msg.darknight.transform_begin	開始闇黑武士的特殊技能.
msg.darknight.transform_disabled	目前無法變身.
msg.darknight.you_have_to_pay	與主線任務相關的功能\n不包括在免費遊戲中.
msg.darknignt.pvp_enabled_with_paladin	變身為闇黑武士的狀態下,可以和聖騎士PVP.
msg.darknignt.special_skill_on	開始闇黑武士的特殊技能.
msg.dyeing_cannot_expired	染色藥水超過有限期限.
msg.dyeing_cannot_expired2	無法使用超過有效期限的物品.
msg.dyeing_select_item	請選擇要染色的物品.
msg.enchant2_item_lost_warning	在6等級以上的魔力賦予失敗時, 對象的道具會消失.\n你要進行魔力賦予嗎?
msg.enchant2_item_lost_warning_title	Warnign\n警告
msg.enchant2_no_option_to_enchant	沒有可以賦予魔力的屬性.\n已過使用期限的卷軸.
msg.enchant2_scroll_broken	此卷軸無法繼續進行魔力賦予.
msg.enchant2_select_item	選擇物品要進行魔力賦予.\n魔力賦予等級 {0}\n成功機率 : {1}
msg.enchant2_tool_required	要右手拿魔法粉.左手拿魔力賦予卷軸.
msg.enchant2_use_level_limit	要使用此魔力賦予卷軸魔力賦予技能等級需在5級以上.
msg.enchant2_use_level_limit2	要使用此魔力賦予卷軸魔力賦予技能等級需在5級以上.
msg.enchant2_warning_two_option_enchant	無法同時擁有兩個屬性.\n 點燃卷軸賦予魔力.並分配屬性.
msg.enchant_cannot_brokenscroll	這個卷軸無法夠再進行魔力賦予.
msg.enchant_use_expired_scroll	沒有魔力賦予的屬性.\n已過使用期限的卷軸.
msg.enchant_use_scroll_not_durability_max	只用此卷軸無法進行魔力賦予.
msg.enchant_use_scroll_warning_two_option	無法同時擁有二種屬性.\n使用卷軸進行魔力賦予,並分配屬性.
msg.enchant_use_select_item	請選擇要進行魔力賦予的物品.\n魔力賦予等級 {0}\n成功機率 : {1}
msg.enchant_use_select_item_elemental	選擇物品進行魔力賦予.\n成功機率 : {0}
msg.fireball.unable_nowand	需要一個火杖.
msg.firstaid_bandage_needed	需要一個以上的繃帶
msg.firstaid_fail_target_moved	對象移動了,所以失敗.
msg.fishing.level_limit	你要使用{0}時的技能缺乏或等級不足.
msg.fishing.level_limit2	你要使用{0}時的技能缺乏或等級不足.
msg.fishing.unable_durability	此釣竿無法再使用.
msg.fishing.unable_notool	想要釣魚,右手要持釣竿,\n左手要有魚餌箱.
msg.fishing.unable_too_close	周圍有其他人,所以無法釣魚.
msg.guild_create.already_have_guildstone	已設有公會石.
msg.guild_create.failed_guildstone	裝置公會石失敗. 請確認周圍是否有其他公會石.
msg.guild_create.no_guild_master	只有公會長能夠裝置公會石.
msg.guildpendant_not_field	公會石只能設在平原.
msg.guildpendant_to_near_from_another	附近有其他的公會石.
msg.guildpendant_unallowdposition	無法設定公會石的地方.
msg.guildpendant_unallowdposition2	無法設定公會石的地方.
msg.guildpendant_use_info	使用公會印記設定公會石,創建公會.\n公會石無法設在室內或村落裡或道路上.\n公會石一旦設定好.就無法在移動.請慎重決定.
msg.handicraft.broken_tool	手工藝工具的耐久度為0, 所以無法使用.
msg.handicraft.no_tool	必須有手工藝的工具.
msg.handicraft_manualbroken	說明書無法繼續使用了.
msg.handicraft_manualbroken_prepare	說明書無法繼續使用了.
msg.handicraft_toolbroken	手工藝工具無法繼續使用了.
msg.handicraft_toolbroken_prepare	手工藝工具無法繼續使用了.
msg.handicraft_toolrequired	要在右手拿手工藝工具.左手拿基本材料或說明書的狀態使用.
msg.housing.inventory_gold_max	因金庫飽和而無法支付生產費.生產中斷.
msg.housing.pay_prop_using	已支付使用費 {0}個金幣.
msg.housing.prop_durability_zero	已到達此生產工具的使用次數,所以無法再使用了.
msg.housing.prop_incompleted	無法使用未完成的生產工具.
msg.housing.prop_not_enough_money	使用需要{0}個金幣.
msg.housing.prop_not_found	房屋主人已經去除生產工具了.
msg.housing.prop_rental_fee_changed	房屋主人變更使用費用.\n請確認使用費用後再試試看.\n變更: {0} -> {1}個金幣
msg.housing.prop_unusable	不是可以使用的狀態.\n請向房屋主人詢問.
msg.icebolt_notenogh_mana	魔法值不足.無法使用技能.
msg.icebolt_notenogh_stamina	耐力不足.無法使用技能.
msg.infinite_slash.10seconds_left	使用無限斬擊技能的時間還剩下10秒.
msg.infinite_slash.cannot_use_yet	現在不能使用技能.請在{0}秒後再試一次.
msg.infinite_slash.cannot_warp_by_distance	距離太遠,無法使用瞬間移動.
msg.infinite_slash.cannot_warp_by_obstruction	中間有障礙物,無法接近目標.
msg.infinite_slash.cannot_warp_by_stamina	耐力值不足,無法接近目標.
msg.lrod.cannot_find_anything	找不到任何東西的樣子.
msg.lrod.cannot_use_here	好像不能在這裡使用的樣子.
msg.milling_productionview_title	Production Form\n生產技能形式
msg.milling_success	{0} 製作成功
msg.milling_windmill_inactivated	風車沒有轉動.
msg.milling_windmill_needed	需要風車.
msg.paladin.pvp_disabled_with_darknight	變身為聖騎士的狀態無法和闇黑武士PVP.
msg.paladin.pvp_enabled_with_darknight	變身為聖騎士的狀態可以和闇黑武士PVP.
msg.paladin.skill_effect	{0}已發動
msg.paladin.skill_effect2	{0}已發動
msg.paladin.skill_on	{0}發動.
msg.paladin.unable_cannot_freeuser	與主線任務相關的功能\n不包括在免費遊戲中.
msg.paladin.unable_cannot_more	今天無法再使用.
msg.paladin.unable_transform_status	目前無法變身.
msg.partyhealing.no_healer_wand	需要治癒魔杖.
msg.play_resultbad	真是遜到爆的演奏.|真是太丟人啦~!
msg.play_resultbad_higherscroll	這首曲子對我來說有點難.|要演奏好這首曲子還需要多加練習一下.
msg.play_resultbest	超級完美的演奏.|簡直就是天籟之音.
msg.play_resultgood	演奏得還可以.|這次的演奏還算不錯.
msg.play_resultgood_higherscroll	演奏得還可以.|對於演奏有了些信心囉.
msg.play_resultworst	演奏真的是差勁的無話可說,到底要如何才能彈的這麼爛...
msg.play_resultworst_higherscroll	難度過高的曲子無法演奏的很好.這真是胡亂彈琴一通...
msg.play_resultworst_lowerscroll	這麼簡單的曲子都演奏不好...|看來要移民去火星好了.
msg.play_resultworst_lowerscroll_goodplay	雖然演奏的很好但曲目似乎太簡單而無法練習..
msg.play_toolbroken	樂器已損壞,無法繼續演奏了.
msg.playing.bard_no_effect	此次的演奏似乎沒有效果.
msg.poison_potion_added	塗抹毒.
msg.poison_potion_pick_item	請選擇要塗抹毒的道具.
msg.portionmaking.successmsg	製作{0}成功.
msg.portionmaking.title	Production Form\n生產技能的形式
msg.portionmaking.unable_durability	無法再使用該藥水調製工具.
msg.portionmaking.unable_insuff_mana	魔力不足,無法同時來製作這些產品.
msg.portionmaking.unable_notool	要製造藥水的話,需要有藥水調製工具.
msg.powershot_cannot_brokenbow	這把弓無法再繼續使用了.
msg.rangedattack_weaponbroken	這把弓無法再繼續使用了.
msg.refine_cannot_barehand	要想要進行提煉的動作,右手必須是空的.
msg.refine_fail	製作失敗
msg.refine_forge_required	需要槳.
msg.refine_prop_inactivated	水車沒有轉動.\n轉動水車才能使用槳.
msg.refine_prop_required	需要槳.
msg.refine_success	{0} 製作成功
msg.sketch.cannot_earn_exp	好像沒有特別的地方了.
msg.sketch.cannot_find_sketchbook	找不到素描書籍.
msg.sketch.cannot_sketch_dead_monster	不能對怪物屍體進行素描.
msg.sketch.cannot_sketch_goodchar	不能對不是怪物的角色進行素描.
msg.sketch.cannot_sketch_moving_monster	由於移動了,所以無法進行素描.
msg.sketch.cannot_sketch_now	現在不能進行素描. 請在{0}之後再試一次.
msg.sketch.exploexp	探險經驗值 +{0} exp
msg.sketch.invalid_monster	無法素描的怪物.
msg.sketch.invalid_prop	無法素描的物品.
msg.sketch.minute	{0}分
msg.sketch.second	{0}秒
msg.sketch.sketch_general_prop	對地形地物進行素描.
msg.sketch.sketch_monster	對{0}進行了素描.
msg.sketch.sketch_prop	對{0}進行了素描.
msg.tailoring.just_before	只剩下最後階段
msg.tailoring.progressed	完成{0}%.
msg.tailoring_failbutitemcreated	雖然做得不怎麼好,但總算完成了.
msg.tailoring_manualbroken	衣服樣本無法繼續使用了.
msg.tailoring_quality_best	經過一番認真製作,完成了與眾不同的{0}!
msg.tailoring_quality_better	完成了比一般常見的{0}更高水平的 {0}.
msg.tailoring_quality_dec	(品質降低)
msg.tailoring_quality_dec_item	附加材料和物品的配合做了反效果.(品質降低)
msg.tailoring_quality_even	(品質 0%)
msg.tailoring_quality_even_item	好像附加材料和工具的配合不是很好.(品質 0%)
msg.tailoring_quality_god	完成了與[神的作品]一樣最高品質'的 {0}!
msg.tailoring_quality_inc	(品質 +1%)
msg.tailoring_quality_inc_item_best	附加材料和工具配合得不合錯.(品質 +{0}%)
msg.tailoring_quality_inc_item_better	附加材料和工具配合得好.(品質 +{0}%)
msg.tailoring_quality_inc_item_normal	附加材料和工具配合得比較有效.(品質 +{0}%)
msg.tailoring_quality_normal	和商店賣的物品的品質差不多.
msg.tailoring_quality_reasonable	這個程度.可以比商店賣的物品使用得更久.
msg.tailoring_quality_waste	雖然是我做的{0}. 但是做的十分粗糙.即使要賣給\n.也只能用非常廉價的價格販售.
msg.tailoring_quality_worse	品質有點差.但修理一下就好了.
msg.tailoring_quality_worst	完成了.但做了個品質差的{0}.
msg.tailoring_resultbad	做衣服失敗...
msg.tailoring_resultbest	衣服做得非常成功~!!!
msg.tailoring_resultgood	做衣服成功~!!!
msg.tailoring_resultgood2	做衣服成功~!!!
msg.tailoring_resultgoodbuttooeasy	衣服雖然做完了.但好像做的簡單了點.
msg.tailoring_resultworst	衣服做的非常失敗...
msg.tailoring_toolbroken	裁縫工具無法繼續使用了.
msg.tailoring_toolrequired	要右手拿裁縫工具.\n左手拿衣服樣本.
msg.tame.desc	馴服怪物.
msg.tame.fail	不能馴服.
msg.tame.info_tame_time	{0}分期間
msg.tame.no_scroll	沒有黑色魔族卷軸.
msg.tame.select_moster	請選擇要馴服的怪物.
msg.tame.select_tame_target	請選擇要馴服的動物.
msg.tame.success	{0}已被馴服.
msg.tame.trying_tame	馴服動物.
msg.tame.unable_tame	已經是被馴服的動物了.
msg.taming.select_monster_to_tame	請選擇要馴服的怪物.
msg.taming.try_to_tame	馴服怪物.
msg.thunder.need_wand	需要雷矢魔杖.
msg.townback_cannot_expired	無法使用超過有效期限的物品.
msg.townbackuse_ask_partyback	要與周圍的隊伍成員一起移動嗎?
msg.townbackuse_ask_use	您真的要移動?
msg.transform.cannot_be_normal_in_arena	在萊比格鬥競技場無法解除變身
msg.transform.cannot_be_normal_in_event_arena	이벤트 아레나에서는 변신을 해제할수 없습니다
msg.transform.cannot_transform_to_darknight	現在不是可以變身的狀態.
msg.untrain_cannot_expired	無法使用超過有效期限的物品.
msg.use_resurrection.party_resurr_confirm	您要使用嗎?
msg.use_resurrection.unable_find_char	沒有能夠復活的角色.
msg.usebomb.item_expired	無法使用超過有效期限的物品.
msg.useitemressurection_info_rewardexp	角色復活 exp +{0}
msg.useitemresurrection_remote_failed	角色的名稱輸入錯誤,或者該角色不是無法行動的狀態.
msg.weaving2_fail	製作失敗
msg.weaving2_farfrom_prop	與手紡車或織布機的距離太遠.
msg.weaving2_productionview_title	Production Form\n生產技能形式
msg.weaving2_prop_required	需要手紡車或織布機.
msg.weaving2_success	{0} 製作成功
msg.weaving_cannot_barehand	紡織時手裡無法拿任何東西.
msg.weaving_cannot_notool	需要手紡車或織布機.
msg.weaving_cannot_tool_toofar	與手紡車或織布機的距離太遠.
msg.windmill_unusable_withnotarget	沒有目標時無法使用.
musicbattlefielduse.1	{0} 效果消失.
musicbattlefielduse.2	{0}的 {1}{發} 出迴響.\n
musicbattlefielduse.3	{0}優秀的 {1}{發}出迴響.\n
musicbattlefielduse.4	{0}天籟之音的 {1}{發}出迴響.\n
musicbattlefielduse.5	最小攻擊力增加{0}%.\n
musicbattlefielduse.6	最大攻擊力增加 {0}%.\n
musicbattlefielduse.7	暴擊增加 {0}%.
musiccontractspaceuse.1	{0} 效果消失.
musiccontractspaceuse.2	{0}的 {1}{發} 出迴響.\n
musiccontractspaceuse.3	{0}優秀的 {1}{發}出迴響.\n
musiccontractspaceuse.4	{0}天籟之音的 {1}{發}出迴響.\n
musiccontractspaceuse.5	이동速度增加{0}%.\n
musicharvestuse.1	{0} 效果消失.
musicharvestuse.2	{0}的 {1}{發} 出迴響.\n
musicharvestuse.3	{0}優秀的 {1}{發}出迴響.\n
musicharvestuse.4	{0}天籟之音的 {1}{發}出迴響.\n
musicharvestuse.5	生產成功率增加{0}% .\n
musicharvestuse.6	採集成功率增加{0}% .\n
musicharvestuse.7	採集速度增加{0}%.\n
musiclightspeeduse.1	{0} 效果消失.
musiclightspeeduse.2	{0}的 {1}{發} 出迴響.\n
musiclightspeeduse.3	{0}優秀的 {1}{發}出迴響.\n
musiclightspeeduse.4	{0}天籟之音的 {1}{發}出迴響.\n
musiclightspeeduse.5	施展魔法速度增加{0}%.\n
musiclightspeeduse.6	施展鍊金術速度增加{0}%.\n
musiclightspeeduse.7	攻擊速度增加{0}%.\n
musicpatienceuse.1	{0}效果消失.
musicpatienceuse.2	{0}的 {1}{發} 出迴響.\n
musicpatienceuse.3	{0}優秀的 {1}{發}出迴響.\n
musicpatienceuse.4	{0}天籟之音的 {1}{發}出迴響.\n
musicpatienceuse.5	防禦增加{0} .\n
musicpatienceuse.6	保護增加{0} .\n
musicpatienceuse.7	恢復魔法速度增加{0}%.\n
musicpatienceuse.8	恢復耐力值速度增加{0}%.
musicpatienceuse.9	魔法防禦 {0} 增加.\n
musicpatienceuse.10	魔法保護 {0} 增加.\n
musicpeaceuse.1	{0}的 {1}{發} 出迴響.\n
musicpeaceuse.2	{0}優秀的 {1}{發}出迴響.\n
musicpeaceuse.3	{0}天籟之音的 {1}{發}出迴響.\n
musicpeaceuse.4	使{0}名敵人睡覺.\n
musicpeaceuse.5	沒有可施放睡覺的敵人.\n
musicsinginguse.1	樂譜沒有歌唱的部份
musicsinginguse.2	真是完美的歌唱|有如歌神附身後的美妙歌唱
musicsinginguse.3	這是個不錯的歌|開始對歌唱有些信心了
musicsinginguse.4	這是個不錯的歌|這次的歌還不錯
musicsinginguse.5	多虧歌聲這次農作物才有辦法長得這麼好
musicsinginguse.6	這首歌對我來說來是一首很難的歌|要唱好這首歌的話,看來還需要再多加練習才行
musicsinginguse.7	羞愧的歌唱|不知道別人知不知道,但這首歌唱起來失誤挺多的
musicsinginguse.8	這不是我可以唱的出來的歌|實在唱得不好
musicsinginguse.9	這次的歌唱好像毀了|實在唱得不好
musicsinginguse.10	歌唱的不錯, 不過這首歌水準較低無法做為練習
musicsinginguse.11	雖然是首簡單的歌, 不過實在唱得不好|選歌和歌唱都是羞愧的水準
musicsinginguse.12	農作物們似乎並不喜歡我的歌聲
musicsinginguse.13	樂譜中似乎沒有唱歌部分的樣子.
naturalmagicshielduse.1	現在寵物無法使用道具. {0}秒後請再次嘗試.
newegocylinderincarnate.1	鋼瓶
newegomagicincarnate.1	集魔杖
newegomagicincarnate.2	魔杖
newegomeleeincarnate.1	單手劍
newegomeleeincarnate.2	單手鈍器
newegomeleeincarnate.3	單手斧
newegomeleeincarnate.4	雙手劍
newegomeleeincarnate.5	雙手鈍器
newegomeleeincarnate.6	雙手斧
newegomeleeincarnate.7	鎖鏈鐮刃
newegomeleeincarnate.8	拳套
newegomeleeincarnate.9	騎槍
newegomeleeincarnate.10	手把
newegorangeincarnate.1	弓
newegorangeincarnate.2	弩
newegorangeincarnate.3	瓦安特式擲矛器
newegorangeincarnate.4	雙槍
newegorangeincarnate.5	手裏劍
newegoskillbase.1	必須裝備{0}精靈武器,才可進行使用.
newegoskillbase.2	必須裝備{0}精靈武器,才可進行使用.
newegoskillbase.3	精靈實體化能量為100%時,可使用.
newegoskillbase.4	透過{0}效果,可再使用一次實體化技能.
newegoskillbase.5	因為武器耐久度為 0,所以無法使用實體化技能.
nuckalaveeswimminguse.1	奈克拉維無力化成功.
paladintransformuse.1	이벤트 아레나에서는 변신을 해제할수 없습니다
paperairplaneuse.1	摺紙飛機時雙手應無物品.
paperairplaneuse.2	還有正在飛行中的紙飛機.\n請稍候片刻再進入.
paperairplaneuse.3	還需要1張紙.
paperairplaneuse.4	紙飛機無法飛行.
paperairplaneuse.5	無法製作紙飛機.
paperairplaneuse.6	還需要1張紙.
